size: 9000, threads: 4, time: 0.0195903, tot = 3249574176841594, min = 1, max = 80999999 
size: 9000, threads: 8, time: 0.0108216, tot = 3249707785273988, min = 0, max = 80999999 
size: 9000, threads: 16, time: 0.0106237, tot = 3249443143591940, min = 1, max = 80999999 
size: 9000, threads: 32, time: 0.0127594, tot = 3249544484848131, min = 0, max = 80999999 
size: 10000, threads: 1, time: 0.0871526, tot = 4942230211568181, min = 0, max = 99999999 
size: 10000, threads: 2, time: 0.0515976, tot = 4941756848020104, min = 0, max = 99999999 
size: 10000, threads: 4, time: 0.0223964, tot = 4942221963148929, min = 1, max = 99999999 
size: 10000, threads: 8, time: 0.0190716, tot = 4941369023791418, min = 2, max = 99999998 
size: 10000, threads: 16, time: 0.0128598, tot = 4942026534308212, min = 0, max = 99999994 
size: 10000, threads: 32, time: 0.0135818, tot = 4941972515205897, min = 0, max = 99999996 
size: 1000, threads: 1, time: 0.000951165, tot = 499891173999, min = 2, max = 999997 
size: 1000, threads: 2, time: 0.00116643, tot = 500188729695, min = 0, max = 999998 
size: 1000, threads: 4, time: 0.000751622, tot = 500046309083, min = 0, max = 999999 
size: 1000, threads: 8, time: 0.00070892, tot = 499931706528, min = 1, max = 999998 
size: 1000, threads: 16, time: 0.000810287, tot = 499585126026, min = 0, max = 999999 
size: 1000, threads: 32, time: 0.00203222, tot = 500301018567, min = 1, max = 999998 
size: 2000, threads: 1, time: 0.00375116, tot = 7995116764712, min = 2, max = 3999999 
size: 2000, threads: 2, time: 0.00388219, tot = 7993866386551, min = 0, max = 3999999 
size: 2000, threads: 4, time: 0.00164224, tot = 7996886353348, min = 1, max = 3999999 
size: 2000, threads: 8, time: 0.00117019, tot = 7997892480503, min = 3, max = 3999999 
size: 2000, threads: 16, time: 0.00123186, tot = 8001227063409, min = 0, max = 3999999 
size: 2000, threads: 32, time: 0.00286663, tot = 7998251822165, min = 2, max = 3999999 
size: 3000, threads: 1, time: 0.00810332, tot = 40449752223457, min = 0, max = 8999998 
size: 3000, threads: 2, time: 0.00825009, tot = 40461976643027, min = 0, max = 8999999 
size: 3000, threads: 4, time: 0.00266841, tot = 40446172624243, min = 0, max = 8999999 
size: 3000, threads: 8, time: 0.00232081, tot = 40472291788339, min = 0, max = 8999998 
size: 3000, threads: 16, time: 0.00252538, tot = 40474672569879, min = 0, max = 8999999 
size: 3000, threads: 32, time: 0.00276734, tot = 40459897093160, min = 1, max = 8999999 
size: 4000, threads: 1, time: 0.0147478, tot = 127853753985034, min = 1, max = 15999999 
size: 4000, threads: 2, time: 0.00886492, tot = 127860488323662, min = 1, max = 15999999 
size: 4000, threads: 4, time: 0.00406153, tot = 127842899335767, min = 1, max = 15999999 
size: 4000, threads: 8, time: 0.00409509, tot = 127805765005950, min = 1, max = 15999999 
size: 4000, threads: 16, time: 0.00287466, tot = 127853150847524, min = 2, max = 15999999 
